"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"453";10;4;1;2;1;1;2;2;1;1
"454";10;4;2;2;2;2;1;1;3;2
"455";10;4;3;1;2;2;3;2;3;5
"456";10;4;4;2;1;2;2;2;1;2
"457";10;5;1;1;1;1;1;1;4;5
"458";10;5;2;2;2;2;2;1;3;3
"459";10;5;3;1;2;1;2;2;2;1
"460";10;5;4;1;2;2;1;1;1;3
"461";10;6;1;2;1;2;2;1;4;1
"462";10;6;2;1;2;2;2;1;4;4
"463";10;6;3;1;2;2;3;1;2;4
"464";10;6;4;2;2;1;1;2;4;5
"465";10;7;1;2;2;1;2;1;3;1
"466";10;7;2;1;1;2;3;2;3;3
"467";10;7;3;1;2;1;2;2;1;2
"468";10;7;4;1;1;1;3;1;1;1
"469";10;8;1;2;2;1;3;2;3;3
"470";10;8;2;1;1;1;3;2;1;2
"471";10;8;3;1;1;1;3;2;4;3
"472";10;8;4;1;2;2;2;2;1;2
"473";10;9;1;2;1;1;2;2;1;5
"474";10;9;2;2;2;2;3;1;4;1
"475";10;9;3;2;1;2;2;2;2;1
"476";10;9;4;1;2;2;1;2;4;3
"477";10;10;1;2;2;2;3;1;1;4
"478";10;10;2;2;1;2;2;1;3;2
"479";10;10;3;1;1;2;1;1;1;5
"480";10;10;4;1;1;2;2;2;4;1
"481";10;11;1;2;1;2;3;1;4;5
"482";10;11;2;2;2;1;1;2;1;5
"483";10;11;3;1;2;2;2;2;3;2
"484";10;11;4;2;2;1;1;1;2;2
"485";10;12;1;2;2;1;1;2;3;4
"486";10;12;2;2;2;2;1;1;2;5
"487";10;12;3;2;1;2;1;2;1;4
"488";10;12;4;1;2;2;2;1;2;5
"489";11;1;1;1;1;2;1;2;2;3
"490";11;1;2;1;2;2;2;1;2;5
"491";11;1;3;1;2;2;2;1;2;4
"492";11;1;4;1;2;1;1;1;2;4
"493";11;2;1;2;1;2;3;2;4;2
"494";11;2;2;2;2;1;2;2;1;2
"495";11;2;3;2;2;2;1;2;1;1
"496";11;2;4;1;2;2;1;1;1;3
"497";11;3;1;2;1;1;3;1;1;5
"498";11;3;2;2;2;2;2;1;4;3
"499";11;3;3;1;2;1;3;1;3;4
"500";11;3;4;2;2;2;1;2;1;2
"501";11;4;1;1;1;1;1;2;4;3
"502";11;4;2;2;2;2;1;1;1;4
"503";11;4;3;2;1;1;1;2;4;1
"504";11;4;4;1;1;2;2;2;1;3
"505";11;5;1;2;2;2;3;2;4;2
"506";11;5;2;2;2;2;1;1;1;3
"507";11;5;3;1;1;1;3;1;1;2
"508";11;5;4;1;2;2;2;1;1;5
"509";11;6;1;2;2;1;1;2;2;5
"510";11;6;2;1;2;2;1;2;1;2
